UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
JBPM-004,JBPM,BBP,BALAI,BBP Petaling Jaya,,Petaling Jaya,Zon 2,,,,,4,-6568.09,-8461.245,3.0974745,101.6434134,True
JBPM-002,JBPM,BBP,BALAI,BBP Subang Jaya,,Shah Alam,Zon 1,,,,,2,-13086.426,-11054.939,3.0740313,101.5847688,True
JBPM-001,JBPM,BBP / Pejabat Zon,BALAI/PEJABAT ZON,BBP Shah Alam,,Shah Alam,Zon 1,,,,,1,-20213.698,-12529.45,3.0607065,101.5206501,True
JBPM-010,JBPM,BBP,BALAI,BBP Klang Utara,,Klang,Zon 3,,,,,10,-28785.646,-12523.313,3.0607688,101.4435377,True
JBPM-009,JBPM,BBP,BALAI,BBP Klang Selatan,,Klang,Zon 3,,,,,9,-28364.984,-14530.189,3.0426195,101.447321,True
JBPM-012,JBPM,BBP,BALAI,BBP Andalas,,Klang,Zon 3,,,,,12,-28087.506,-17174.296,3.0187076,101.4498158,True
JBPM-008,JBPM,BBP / Pejabat Zon,BALAI/PEJABAT ZON,BBP Pelabuhan Klang,,Klang,Zon 3,,,,,8,-32669.013,-17942.949,3.0117578,101.4086025,True
JBPM-013,JBPM,BBP,BALAI,BBP Pulau Indah,,Klang,Zon 3,,,,,13,-38834.815,-26036.65,2.9385624,101.3531404,True
JBPM-006,JBPM,BBP / Pejabat Zon,BALAI/PEJABAT ZON,BBP Puchong,,Petaling Jaya,Zon 2,,,,,6,-9369.524,-15519.038,3.0336541,101.6181975,True
JBPM-020,JBPM,BBP,BALAI,BBP Bandar Tun Hussein Onn,,Hulu Langat,Zon 4,,,,,20,6455.232,-15267.525,3.0358889,101.7605526,True
JBPM-019,JBPM,BBP,BALAI,BBP Serdang,,Hulu Langat,Zon 4,,,,,19,777.79,-16898.034,3.0211602,101.7094758,True
JBPM-016,JBPM,BBP,BALAI,BBP Kajang,,Hulu Langat,Zon 4,,,,,16,10160.939,-20427.515,2.989214,101.7938708,True
JBPM-018,JBPM,BBP,BALAI,BBP Semenyih,,Hulu Langat,Zon 4,,,,,18,17286.512,-26717.21,2.9323097,101.8579436,True
JBPM-017,JBPM,BBP,BALAI,BBP Bangi,,Hulu Langat,Zon 4,,,,,17,6767.619,-26185.163,2.937157,101.7633293,True
JBPM-022,JBPM,BBP,BALAI,BBP Cyberjaya,,KLIA,Zon 5,,,,,22,-4999.069,-28922.871,2.9124295,101.6574834,True
JBPM-032,JBPM,BBP / Pejabat Zon,BALAI/PEJABAT ZON,BBP Sekinchan,,Sabak Bernam,Zon 7,,,,,32,-67399.808,37918.577,3.5168899,101.0960355,True
JBPM-003,JBPM,BBP,BALAI,BBP Bukit Jelutong,,Shah Alam,Zon 1,,,,,3,-17435.944,-7033.722,3.1104032,101.5456458,True
JBPM-025,JBPM,BBP,BALAI,BBP Banting,,KLIA,Zon 5,,,,,25,-21869.144,-39640.493,2.8155313,101.5057325,True
APM-001,APM,APM Negeri,NEGERI,APM Negeri Selangor,,,,Selangor,,"Aras 3, Wisma Persekutuan Klang, Persiaran Bukit Raja 1/KU1, Bandar Baru Klang, 41150 Klang, Selangor",,0,-26030.213,-12904.872,3.0573166,101.4683251,True
APM-002,APM,APM Daerah,DAERAH,PPAD Petaling,,,,Petaling,,"139 Kompleks Puspada, Jalan Raya Barat, 41000 Klang, Selangor",,0,-28926.689,-14910.054,3.0391845,101.4422679,True
APM-003,APM,APM Daerah,DAERAH,PPAD Klang,,,,Klang,,"139 Kompleks Puspada, Jalan Raya Barat, 41000 Klang, Selangor",,0,-28936.683,-14879.118,3.0394643,101.442178,True
APM-004,APM,APM Daerah,DAERAH,PPAD Kuala Langat,,,,Kuala Langat,,"425 A, Jalan Raja Husin, Telok Datok, 42700 Banting, Selangor",,0,-20477.916,-39017.712,2.821162,101.5182457,True
APM-005,APM,APM Daerah,DAERAH,PPAD Hulu Langat,,,,Hulu Langat,,"5/5, Seksyen 5, Taman West Country, Off Jalan Reko, 43650 Kajang, Selangor",,0,9774.022,-23184.279,2.9642852,101.7903813,True
APM-006,APM,APM Daerah,DAERAH,PPAD Sepang,,,,Sepang,,"Airportcity Business Centre, 23, Jalan Airport City 1, Kota Warisan, 43900 Sepang, Selangor",,0,904.584,-38705.466,2.8239483,101.7105602,True
APM-007,APM,APM Daerah,DAERAH,PPAD Gombak,,,,Gombak,,"Jalan Padang Tembak, 50556 Kuala Lumpur",,0,2191.996,241.493,3.1761538,101.7222458,True
APM-008,APM,APM Daerah,DAERAH,PPAD Kuala Selangor,,,,Kuala Selangor,,"1024-1026, Jalan Raja Jalil, 45000 Kuala Selangor, Selangor",,0,-50379.824,18291.512,3.3394313,101.2492409,True
APM-009,APM,APM Daerah,DAERAH,PPAD Hulu Selangor,,,,Hulu Selangor,,"Jalan Syed Masyor, Kampung Tun Abdul Razak, 44000 Kuala Kubu Baru, Selangor",,0,-5199.782,43463.324,3.5670404,101.6558494,True
APM-010,APM,APM Daerah,DAERAH,PPAD Sabak Bernam,,,,Sabak Bernam,,"623, Kuarters J.K.R, Jalan Parit 1 Timur, 45300 Sungai Besar, Selangor",,0,-78607.586,55758.385,3.6781802,100.9950963,True
