UID,AGENSI,KATEGORI,HIERARKI,NAMA,UNIT,INDUK,ZON,DAERAH,PBT,ALAMAT,TELEFON,SRC_ID,X_CASS,Y_CASS,LATITUDE,LONGITUDE,GEOM_OK
PDRM-153,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bandar Sunway,PENGURUSAN,IPD Subang Jaya,,,,,,153,-10368.849,-11096.221,3.0736532,101.609216,True
PDRM-015,PDRM,IPD,DAERAH,IPD Subang Jaya,PENGURUSAN,IPD Subang Jaya,,,,"Subang Jaya, Selangor",,15,-12584.997,-14241.757,3.0452108,101.5892743,True
PDRM-149,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Subang Jaya,PENGURUSAN,IPD Subang Jaya,,,,,,149,-12584.997,-14241.757,3.0452108,101.5892743,True
PDRM-150,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis USJ 8,PENGURUSAN,IPD Subang Jaya,,,,,,150,-12584.997,-14241.757,3.0452108,101.5892743,True
PDRM-132,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Sungai Besi Indah,JPJKK,IPD Serdang,,,,,,132,2604.695,-16206.148,3.0274121,101.7259118,True
PDRM-130,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sri Kembangan,PENGURUSAN,IPD Serdang,,,,,,130,767.625,-16663.312,3.0232829,101.709385,True
PDRM-133,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Serdang,PENGURUSAN,IPD Serdang,,,,,,133,-723.254,-16762.301,3.0223916,101.6959734,True
PDRM-061,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Long,PENGURUSAN,IPD Kajang,,,,,,61,9851.832,-14610.36,3.0418208,101.7911096,True
PDRM-129,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Serdang,PENGURUSAN,IPD Serdang,,,,,,129,1377.798,-18351.543,3.008014,101.7148693,True
PDRM-013,PDRM,IPD,DAERAH,IPD Serdang,PENGURUSAN,IPD Serdang,,,,"Jalan Kinrara 6, Bandar Kinrara 6, 47180 Puchong, Selangor",03-80742222,13,-5719.512,-14994.622,3.0383891,101.651033,True
PDRM-127,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bandar Kinrara,PENGURUSAN,IPD Serdang,,,,,,127,-5719.512,-14994.622,3.0383891,101.651033,True
PDRM-131,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Bandar Puteri,JPJKK,IPD Serdang,,,,,,131,-8764.89,-16351.911,3.026121,101.623635,True
PDRM-151,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Putra Heights,PENGURUSAN,IPD Subang Jaya,,,,,,151,-14576.924,-19220.655,3.0001879,101.5713478,True
PDRM-145,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Kota Kemuning,PENGURUSAN,IPD Shah Alam,,,,,,145,-17204.278,-20192.986,2.9913984,101.5477125,True
PDRM-146,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Taman Berjaya,PENGURUSAN,IPD Shah Alam,,,,,,146,-21033.715,-21148.497,2.9827618,101.5132645,True
PDRM-067,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Pulau Ketam,PENGURUSAN,IPD Klang Selatan,,,,,,67,-49910.416,-17021.028,3.0200868,101.2535065,True
PDRM-072,PDRM,BALAI POLIS MARIN,BALAI/UNIT,Balai Polis Pulau Indah,KDNKA,IPD Klang Selatan,,,,,,72,-43422.485,-24469.195,2.9527355,101.3118738,True
PDRM-069,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Telok Gong,PENGURUSAN,IPD Klang Selatan,,,,,,69,-34630.777,-23291.752,2.9633864,101.3909554,True
PDRM-068,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Pelabuhan Klang,PENGURUSAN,IPD Klang Selatan,,,,,,68,-34466.379,-19239.556,3.0000322,101.3924343,True
PDRM-066,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Pandamaran,PENGURUSAN,IPD Klang Selatan,,,,,,66,-31957.867,-18279.759,3.0087118,101.4149995,True
PDRM-071,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bukit Tinggi,PENGURUSAN,IPD Klang Selatan,,,,,,71,-30375.843,-19958.02,2.9935341,101.42923,True
PDRM-074,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Hospital Tengku Ampuan Rahimah,PENGURUSAN,IPD Klang Selatan,,,,,,74,-29182.058,-16996.324,3.0203175,101.4399698,True
PDRM-073,PDRM,POS PENGAWAL,BALAI/UNIT,Pos Pengawal Istana Alam Shah,PENGURUSAN,IPD Klang Selatan,,,,,,73,-28295.446,-15231.952,3.0362731,101.4479462,True
PDRM-007,PDRM,IPD,DAERAH,IPD Klang Selatan,PENGURUSAN,IPD Klang Selatan,,,,"Jalan Gedung Raja Abdullah, 41560 Klang, Selangor",03-33762222,7,-28380.208,-14397.824,3.0438166,101.4471841,True
PDRM-065,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Klang,PENGURUSAN,IPD Klang Selatan,,,,,,65,-28404.863,-14490.466,3.0429788,101.4469623,True
PDRM-138,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Seksyen 15,JPJKK,IPD Shah Alam,,,,,,138,-20233.647,-12713.847,3.059039,101.5204705,True
PDRM-070,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Taman Sentosa,PENGURUSAN,IPD Klang Selatan,,,,,,70,-24906.926,-18424.885,3.007396,101.4784259,True
PDRM-144,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Alam Impian,JPJKK,IPD Shah Alam,,,,,,144,-20970.105,-17463.765,3.0160843,101.5138404,True
PDRM-142,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Taman Sri Muda,PENGURUSAN,IPD Shah Alam,,,,,,142,-18275.379,-15650.74,3.0324772,101.5380832,True
PDRM-111,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sungai Pelek,PENGURUSAN,IPD Sepang,,,,,,111,1345.344,-59048.745,2.639976,101.7144749,True
PDRM-109,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Sepang,PENGURUSAN,IPD Sepang,,,,,,109,5396.569,-53326.022,2.6917183,101.7509212,True
PDRM-042,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Tanjung Sepat,PENGURUSAN,IPD Kuala Langat,,,,,,42,-16187.269,-56453.881,2.663474,101.5568137,True
PDRM-045,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Batu Laut,PENGURUSAN,IPD Kuala Langat,,,,,,45,-21851.183,-54741.076,2.6789696,101.5058807,True
PDRM-117,PDRM,BALAI LAPANGAN TERBANG,BALAI/UNIT,Balai Polis KLIA 2,PENGURUSAN,IPD Sepang,,,,,,117,-1944.875,-47497.841,2.7444426,101.6849124,True
PDRM-119,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis KLIA 2,PENGURUSAN,IPD Sepang,,,,,,119,-1944.875,-47497.841,2.7444426,101.6849124,True
PDRM-118,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis KLIA,PENGURUSAN,IPD Sepang,,,,,,118,299.321,-46262.625,2.7556079,101.7050983,True
PDRM-120,PDRM,PONDOK POLIS,BALAI/UNIT,Pondok Polis Pekan Salak,PENGURUSAN,IPD Sepang,,,,,,120,5327.554,-43377.2,2.7816887,101.7503275,True
PDRM-012,PDRM,IPD,DAERAH,IPD Sepang,PENGURUSAN,IPD Sepang,,,,"43900 Sepang, Selangor",03-87774222,12,4241.357,-40749.7,2.805453,101.7405657,True
PDRM-112,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Bandar Baru Salak Tinggi,PENGURUSAN,IPD Sepang,,,,,,112,4241.357,-40749.7,2.805453,101.7405657,True
PDRM-116,PDRM,BALAI LAPANGAN TERBANG,BALAI/UNIT,Balai Polis KLIA,PENGURUSAN,IPD Sepang,,,,,,116,-2549.799,-42788.889,2.7870287,101.6794824,True
PDRM-043,PDRM,BALAI KOMUNITI,BALAI/UNIT,Balai Polis Komuniti Seri Ehsan,JPJKK,IPD Kuala Langat,,,,,,43,-8006.119,-44674.706,2.7699856,101.6304063,True
PDRM-004,PDRM,IPD,DAERAH,IPD Kuala Langat,PENGURUSAN,IPD Kuala Langat,,,,"Jalan Sultan Alam Shah, 42700 Banting, Selangor",03-31872222,4,-23214.39,-40815.366,2.8049075,101.4936324,True
PDRM-039,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Banting,PENGURUSAN,IPD Kuala Langat,,,,,,39,-23214.39,-40815.366,2.8049075,101.4936324,True
PDRM-110,PDRM,BALAI POLIS,BALAI/UNIT,Balai Polis Dengkil,PENGURUSAN,IPD Sepang,,,,,,110,-2542.493,-34785.258,2.8594084,101.6795661,True
